geometry,Pincode,District,Zone ID,Zone Name,Zone Type,Zone Speed Limit,Latitude,Longitude
"POLYGON ((76.91704945 11.05293645, 76.9385371 11.01936405, 76.96133685 10.98779155, 76.993602 10.99120295, 77.00272565 10.99697645, 77.065484 11.0552382, 77.0318925 11.0935922, 76.94169965 11.0983473, 76.9387964 11.09662835, 76.91704945 11.05293645))",641001,Coimbatore,Z103,Nachi Angannan Thevar Street,residential,40,10.99744,76.9931118
"POLYGON ((76.94153174202292 11.013228577335166, 76.9414892579775 11.013317040053526, 76.94145564936703 11.01340924096436, 76.94143123986083 11.013504292122496, 76.94141626453579 11.013601278133319, 76.94141086761246 11.013699264968526, 76.94141510106616 11.013797308961333, 76.94142892412643 11.01389446589449, 76.94145220366964 11.013989800093618, 76.94148471550106 11.014082393438267, 76.94152614651398 11.014171354203912, 76.9415760977051 11.014255825649746, 76.94163408801714 11.014334994269571, 76.9416995589717 11.0144080976263, 76.9417718800477 11.014474431694644, 76.94185035475363 11.014533357641264, 76.94193422733517 11.014584307977081, 76.94202269005353 11.01462679202251, 76.94211489096436 11.01466040063297, 76.9422099421225 11.014684810139165, 76.94230692813332 11.014699785464215, 76.94240491496853 11.014705182387546, 76.94250295896133 11.01470094893384, 76.94260011589449 11.01468712587357, 76.94269545009362 11.014663846330361, 76.94278804343827 11.014631334498942, 76.94287700420391 11.014589903486021, 76.94296147564975 11.014539952294902, 76.94304064426957 11.01448196198286, 76.9431137476263 11.014416491028303, 76.94318008169465 11.014344169952311, 76.94323900764127 11.014265695246383, 76.94328995797709 11.014181822664835, 76.95079635797708 11.000336622664834, 76.9508388420225 11.000248159946475, 76.95087245063297 11.00015595903564, 76.95089686013917 11.000060907877504, 76.95091183546421 10.999963921866682, 76.95091723238754 10.999865935031474, 76.95091299893384 10.999767891038667, 76.95089917587357 10.99967073410551, 76.95087589633036 10.999575399906382, 76.95084338449894 10.999482806561733, 76.95080195348602 10.999393845796089, 76.9507520022949 10.999309374350254, 76.95069401198286 10.999230205730429, 76.9506285410283 10.999157102373701, 76.9505562199523 10.999090768305356, 76.95047774524637 10.999031842358736, 76.95039387266483 10.998980892022919, 76.95030540994647 10.99893840797749, 76.95021320903564 10.99890479936703, 76.9501181578775 10.998880389860835, 76.95002117186668 10.998865414535786, 76.94992318503147 10.998860017612454, 76.94982514103867 10.998864251066161, 76.94972798410551 10.99887807412643, 76.94963264990638 10.99890135366964, 76.94954005656173 10.998933865501058, 76.94945109579609 10.99897529651398, 76.94936662435025 10.999025247705099, 76.94928745573043 10.99908323801714, 76.9492143523737 10.999148708971697, 76.94914801830535 10.99922103004769, 76.94908909235873 10.999299504753617, 76.94903814202291 10.999383377335166, 76.94153174202292 11.013228577335166))",641002,Coimbatore,Z118,Thadagam Road,primary,40,10.99986,76.94991725
"POLYGON ((77.00947583443862 11.02582274673714, 77.00957296729513 11.025836737978782, 77.00967100381187 11.025841141163944, 77.00976899984362 11.025835913887548, 77.00986601163498 11.025821106491119, 77.00996110490942 11.025796861577984, 77.0100533638667 11.025763412639908, 77.01014190000262 11.025721081808449, 77.0102258606658 11.025670276752654, 77.01030443726916 11.025611486752984, 77.01037687307704 11.025545277989275, 77.01044247049302 11.025472288088114, 77.01050059777813 11.02539321998215, 77.01055069513484 11.025308835140464, 77.01059228009822 11.025219946235213, 77.01062495218233 11.025127409315147, 77.01064839673714 11.02503211556139, 77.01066238797878 11.024934982704885, 77.01066679116394 11.024836946188136, 77.01066156388755 11.024738950156395, 77.01064675649113 11.024641938365015, 77.01062251157799 11.024546845090581, 77.01058906263991 11.024454586133308, 77.01054673180845 11.024366049997388, 77.01049592675265 11.02428208933421, 77.01043713675298 11.024203512730857, 77.01037092798929 11.024131076922973, 77.01029793808812 11.024065479506987, 77.01021886998215 11.024007352221874, 77.01013448514047 11.023957254865163, 77.01004559623522 11.023915669901788, 77.00995305931515 11.023882997817676, 77.00985776556139 11.023859553262861, 77.00183086556139 11.02229795326286, 77.00173373270488 11.022283962021218, 77.00163569618813 11.022279558836056, 77.00153770015639 11.022284786112452, 77.00144068836502 11.022299593508881, 77.00134559509058 11.022323838422016, 77.0012533361333 11.022357287360093, 77.00116479999738 11.022399618191551, 77.00108083933421 11.022450423247346, 77.00100226273085 11.022509213247016, 77.00092982692297 11.022575422010725, 77.00086422950699 11.022648411911886, 77.00080610222187 11.022727480017851, 77.00075600486517 11.022811864859536, 77.00071441990178 11.022900753764787, 77.00068174781768 11.022993290684854, 77.00065830326287 11.02308858443861, 77.00064431202122 11.023185717295116, 77.00063990883606 11.023283753811864, 77.00064513611245 11.023381749843605, 77.00065994350888 11.023478761634985, 77.00068418842201 11.023573854909419, 77.0007176373601 11.023666113866692, 77.00075996819156 11.023754650002612, 77.00081077324735 11.02383861066579, 77.00086956324702 11.023917187269143, 77.00093577201072 11.023989623077027, 77.00100876191189 11.024055220493013, 77.00108783001785 11.024113347778126, 77.00117221485954 11.024163445134837, 77.00126110376479 11.024205030098212, 77.00135364068485 11.024237702182324, 77.00144893443861 11.024261146737139, 77.00947583443862 11.02582274673714))",641004,Coimbatore,Z119,Avinashi Road,primary,50,11.02327955,77.0016399
"POLYGON ((76.95745715 10.99786395, 76.95880815 10.989776, 76.96030565 10.9914199, 76.95955895 10.9942057, 76.95745715 10.99786395))",641007,Coimbatore,Z112,Oppanakara Street,trunk,40,10.9914199,76.96030565
"POLYGON ((76.9535619 10.9534433, 76.96591095 10.97172, 76.96137325 10.9876107, 76.9561217 10.9698955, 76.95466715 10.96113985, 76.9535619 10.9534433))",641008,Coimbatore,Z111,Palghat road,primary,20,10.97453935,76.9612974
"POLYGON ((77.02663315 11.0054989, 77.02902705 11.0016412, 77.02744585 11.004241, 77.02663315 11.0054989))",641015,Coimbatore,Z100,Kamarajar Road,secondary,40,11.0016412,77.02902705
"POLYGON ((77.08617545 10.97570045, 77.0682357 11.00332065, 77.05852985 11.0016839, 77.0483931 10.9821482, 77.0861181 10.97553295, 77.08617545 10.97570045))",641016,Coimbatore,Z145,Pattanam Road,tertiary,40,11.0016839,77.05852985
"POLYGON ((76.93841655 11.09364355, 76.94369445 11.0994915, 76.94316285 11.1032142, 76.9409511 11.10454755, 76.938454 11.10434855, 76.93841655 11.09364355))",641017,Coimbatore,-,Unnamed Zone,residential,35,11.0992341,76.9433057
"POLYGON ((76.99100090684624 11.01648498505097, 76.99092995647123 11.0164171868877, 76.9908527023596 11.016356669543981, 76.99076988851066 11.016304015834915, 76.99068231246703 11.016259732844501, 76.99059081763392 11.01622424704215, 76.99049628515657 11.01619790017553, 76.9903996254344 11.016180945979375, 76.9903017693534 11.016173547731858, 76.99020365932111 11.01617577668215, 76.99010624019077 11.01618761136424, 76.99001045016188 11.016208937803668, 76.98991721174474 11.016239550615168, 76.98982742287633 11.016279154980628, 76.9897419482725 11.01632736948836, 76.98966161110042 11.016383729806297, 76.98958718505096 11.016447693153767, 76.98951938688771 11.016518643528768, 76.98945886954398 11.016595897640405, 76.98940621583492 11.01667871148935, 76.9893619328445 11.016766287532969, 76.98932644704215 11.016857782366085, 76.98930010017553 11.01695231484344, 76.98928314597937 11.0170489745656, 76.98927574773185 11.017146830646604, 76.98927797668215 11.017244940678896, 76.98928981136424 11.017342359809232, 76.98931113780367 11.017438149838133, 76.98934175061517 11.017531388255255, 76.98938135498064 11.017621177123676, 76.98942956948837 11.017706651727506, 76.98948592980629 11.017786988899585, 76.98954989315376 11.01786141494903, 76.99332759315377 11.02184381494903, 76.99339854352877 11.0219116131123, 76.9934757976404 11.02197213045602, 76.99355861148935 11.022024784165085, 76.99364618753297 11.022069067155499, 76.99373768236609 11.02210455295785, 76.99383221484344 11.02213089982447, 76.9939288745656 11.022147854020625, 76.99402673064661 11.022155252268142, 76.9941248406789 11.02215302331785, 76.99422225980923 11.02214118863576, 76.99431804983813 11.022119862196332, 76.99441128825526 11.022089249384832, 76.99450107712367 11.022049645019372, 76.99458655172751 11.02200143051164, 76.99466688889959 11.021945070193704, 76.99474131494904 11.021881106846234, 76.9948091131123 11.021810156471233, 76.99486963045602 11.021732902359595, 76.99492228416509 11.02165008851065, 76.9949665671555 11.021562512467032, 76.99500205295786 11.021471017633916, 76.99502839982448 11.02137648515656, 76.99504535402063 11.0212798254344, 76.99505275226815 11.021181969353396, 76.99505052331786 11.021083859321104, 76.99503868863576 11.020986440190768, 76.99501736219634 11.020890650161867, 76.99498674938484 11.020797411744745, 76.99494714501937 11.020707622876325, 76.99489893051164 11.020622148272494, 76.99484257019371 11.020541811100415, 76.99477860684624 11.02046738505097, 76.99100090684624 11.01648498505097))",641018,Coimbatore,Z119,Avinashi Road,primary,50,11.0211556,76.9940531
"POLYGON ((76.9604237 11.22391915, 76.96081565 11.19187425, 76.96085805 11.19157285, 76.96662655 11.20603905, 76.96683735 11.2071409, 76.9662102 11.21096355, 76.96541145 11.2143537, 76.96313715 11.21915665, 76.9604237 11.22391915))",641019,Coimbatore,Z152,Mettupalayam Road,trunk,50,11.2143537,76.96541145
