geometry,Pincode,District,Zone ID,Zone Name,Zone Type,Zone Speed Limit,Latitude,Longitude
"POLYGON ((77.6751096 12.93060255, 77.67510478472667 12.93050453285967, 77.6750903852804 12.930407459677983, 77.67506654033572 12.930312265322746, 77.6750334795325 12.930219866567635, 77.67499152126435 12.930131153263174, 77.6749410696123 12.93004697976698, 77.67488261045335 12.929968156715836, 77.67481670678119 12.929895443218813, 77.67474399328415 12.929829539546636, 77.67466517023301 12.929771080387697, 77.67458099673682 12.929720628735652, 77.67449228343236 12.929678670467489, 77.67439988467724 12.929645609664268, 77.674304690322 12.929621764719597, 77.67420761714033 12.929607365273327, 77.6741096 12.92960255, 77.67401158285966 12.929607365273327, 77.67391450967799 12.929621764719597, 77.67381931532275 12.929645609664268, 77.67372691656763 12.929678670467489, 77.67363820326317 12.929720628735652, 77.67355402976698 12.929771080387697, 77.67347520671584 12.929829539546636, 77.6734024932188 12.929895443218813, 77.67333658954664 12.929968156715836, 77.67327813038769 12.93004697976698, 77.67322767873564 12.930131153263174, 77.67318572046749 12.930219866567635, 77.67315265966427 12.930312265322746, 77.67312881471959 12.930407459677983, 77.67311441527332 12.93050453285967, 77.67310959999999 12.93060255, 77.67311441527332 12.93070056714033, 77.67312881471959 12.930797640322016, 77.67315265966427 12.930892834677254, 77.67318572046749 12.930985233432365, 77.67322767873564 12.931073946736825, 77.67327813038769 12.93115812023302, 77.67333658954664 12.931236943284164, 77.6734024932188 12.931309656781186, 77.67347520671584 12.931375560453363, 77.67355402976698 12.931434019612302, 77.67363820326317 12.931484471264348, 77.67372691656763 12.93152642953251, 77.67381931532275 12.931559490335731, 77.67391450967799 12.931583335280402, 77.67401158285966 12.931597734726672, 77.6741096 12.93160255, 77.67420761714033 12.931597734726672, 77.674304690322 12.931583335280402, 77.67439988467724 12.931559490335731, 77.67449228343236 12.93152642953251, 77.67458099673682 12.931484471264348, 77.67466517023301 12.931434019612302, 77.67474399328415 12.931375560453363, 77.67481670678119 12.931309656781186, 77.67488261045335 12.931236943284164, 77.6749410696123 12.93115812023302, 77.67499152126435 12.931073946736825, 77.6750334795325 12.930985233432365, 77.67506654033572 12.930892834677254, 77.6750903852804 12.930797640322016, 77.67510478472667 12.93070056714033, 77.6751096 12.93060255))",530103,Banglore,Z430,Temple Road,residential,20,12.93060255,77.6741096
"POLYGON ((77.6194974 12.97174, 77.6181719 12.99979745, 77.58298375 12.98437825, 77.57836425 12.98052985, 77.57020725 12.96873225, 77.59641665 12.96498405, 77.59714615 12.964979, 77.59941145 12.9651498, 77.6194974 12.97174))",560001,Banglore,-,Unnamed Zone,unclassified,25,12.96826315,77.588818
"POLYGON ((77.57695725 12.96434735, 77.5690589 12.9619049, 77.570234 12.96072495, 77.57695725 12.96434735))",560002,Banglore,Z336,Seethapathy Agrahara,residential,20,12.96072495,77.570234
"POLYGON ((77.5704632 13.0114077, 77.5620757 13.004237, 77.5745466 12.99893145, 77.58183555 12.9983873, 77.58228315 12.99881935, 77.5704632 13.0114077))",560003,Banglore,Z136,Sheshadripuram Main Road,tertiary,60,12.99881935,77.58228315
"POLYGON ((77.5678237 12.9449729, 77.57656495 12.9397321, 77.5851634 12.9439516, 77.56785875 12.94603525, 77.5678237 12.9449729))",560004,Banglore,Z114,Old Veterinary Hospital Road,tertiary,30,12.9397321,77.57656495
"POLYGON ((77.60658395 12.9954417, 77.6097172 12.9927979, 77.61796085 12.99436535, 77.6181336 12.9944449, 77.6284927 12.9995998, 77.6186903 12.99969425, 77.61301655 12.998919, 77.60658395 12.9954417))",560005,Banglore,Z112,Saunders Road,tertiary,40,12.9927979,77.6097172
"POLYGON ((77.58382255 13.01569995, 77.59369885 13.01254265, 77.584416 13.02297745, 77.58426015 13.0231323, 77.5840732 13.02331245, 77.58104235 13.0256069, 77.5799453 13.0261556, 77.5795824 13.02631635, 77.5789884 13.0265644, 77.57582035 13.02753645, 77.5752128 13.0276574, 77.57456595 13.02732605, 77.57417425 13.0270327, 77.57708335 13.02092775, 77.58382255 13.01569995))",560006,Banglore,Z174,4th Cross Road,residential,20,13.02732605,77.57456595
"POLYGON ((77.62056085 12.96672695, 77.6195763 12.97229295, 77.61958795 12.97188715, 77.6203213 12.96712045, 77.6204644 12.9668526, 77.62056085 12.96672695))",560007,Banglore,Z270,Trinity Church Road,secondary,30,12.96672695,77.62056085
"POLYGON ((77.64990743492575 12.960402550904726, 77.64996672115572 12.960324348030158, 77.65001805668417 12.960240710657082, 77.65006094712187 12.960152444259123, 77.6500949794105 12.960060398889944, 77.65011982580046 12.959965460996766, 77.65013524700748 12.9598685448834, 77.65014109451688 12.959770583905, 77.65013731201397 12.959672521479336, 77.6501239359263 12.959575302001172, 77.65010109507291 12.959479861747232, 77.65006900942372 12.959387119859331, 77.65002798798106 12.95929796949255, 77.64997842580384 12.959213269213654, 77.64992080020292 12.959133834732633, 77.64985566614436 12.959060431046959, 77.64978365090474 12.958993765074254, 77.64970544803016 12.958934478844277, 77.64962181065708 12.958883143315834, 77.64953354425913 12.958840252878126, 77.64944149888994 12.958806220589512, 77.64934656099678 12.958781374199539, 77.64924964488341 12.958765952992522, 77.649151683905 12.958760105483117, 77.64905362147934 12.958763887986033, 77.64895640200118 12.958777264073703, 77.64886096174723 12.958800104927086, 77.64876821985933 12.958832190576283, 77.64867906949256 12.958873212018949, 77.64859436921365 12.958922774196168, 77.64851493473263 12.958980399797078, 77.64844153104697 12.959045533855644, 77.64837486507426 12.959117549095273, 77.64096646507426 12.967953249095274, 77.64090717884429 12.968031451969843, 77.64085584331583 12.968115089342918, 77.64081295287814 12.968203355740878, 77.64077892058951 12.968295401110057, 77.64075407419955 12.968390339003234, 77.64073865299252 12.9684872551166, 77.64073280548313 12.968585216095, 77.64073658798604 12.968683278520665, 77.6407499640737 12.968780497998829, 77.6407728049271 12.968875938252769, 77.64080489057629 12.96896868014067, 77.64084591201895 12.96905783050745, 77.64089547419617 12.969142530786346, 77.64095309979709 12.969221965267367, 77.64101823385565 12.969295368953041, 77.64109024909527 12.969362034925746, 77.64116845196985 12.969421321155723, 77.64125208934293 12.969472656684166, 77.64134035574088 12.969515547121874, 77.64143240111007 12.969549579410488, 77.64152733900323 12.969574425800461, 77.6416242551166 12.969589847007478, 77.641722216095 12.969595694516883, 77.64182027852067 12.969591912013968, 77.64191749799883 12.969578535926297, 77.64201293825278 12.969555695072915, 77.64210568014067 12.969523609423717, 77.64219483050745 12.969482587981052, 77.64227953078635 12.969433025803832, 77.64235896526738 12.969375400202923, 77.64243236895304 12.969310266144356, 77.64249903492575 12.969238250904727, 77.64990743492575 12.960402550904726))",560008,Banglore,Z404,13th Main Road,tertiary,25,12.96859575,77.64173275
"POLYGON ((77.57406407397073 12.97962895250014, 77.57396620937092 12.979621667806692, 77.57386810199108 12.979624010599247, 77.57377069665893 12.979635958315432, 77.57367493144103 12.97965739589221, 77.57358172860881 12.979688116873996, 77.57349198575649 12.979727825400944, 77.57340656715678 12.979776139058231, 77.57332629543751 12.979832592558925, 77.57325194365922 12.979896642224956, 77.57318422787014 12.979967671223028, 77.57312380021038 12.980044995505057, 77.57307124263133 12.98012787039594, 77.57302706129119 12.980215497765174, 77.57299168168042 12.980307033713292, 77.57296544452402 12.980401596699071, 77.57294860250015 12.98049827602927, 77.5729413178067 12.980596140629086, 77.57294366059925 12.980694248008923, 77.57295560831544 12.980791653341084, 77.57297704589222 12.980887418558975, 77.573007766874 12.980980621391193, 77.57304747540095 12.981070364243518, 77.57309578905823 12.98115578284322, 77.57315224255893 12.981236054562492, 77.57321629222496 12.981310406340796, 77.57328732122303 12.981378122129861, 77.57336464550507 12.981438549789623, 77.57344752039594 12.981491107368683, 77.57353514776518 12.981535288708823, 77.5736266837133 12.98157066831959, 77.57372124669908 12.981596905475989, 77.57381792602928 12.98161374749986, 77.57428197602927 12.98167129749986, 77.57437984062908 12.981678582193307, 77.57447794800892 12.981676239400752, 77.57457535334107 12.981664291684567, 77.57467111855897 12.98164285410779, 77.57476432139119 12.981612133126003, 77.57485406424351 12.981572424599054, 77.57493948284322 12.981524110941768, 77.57501975456249 12.981467657441074, 77.57509410634079 12.981403607775043, 77.57516182212986 12.981332578776971, 77.57522224978962 12.981255254494942, 77.57527480736867 12.98117237960406, 77.57531898870882 12.981084752234825, 77.57535436831958 12.980993216286707, 77.57538060547598 12.980898653300928, 77.57539744749985 12.98080197397073, 77.5754047321933 12.980704109370913, 77.57540238940075 12.980606001991076, 77.57539044168456 12.980508596658915, 77.57536900410778 12.980412831441024, 77.575338283126 12.980319628608806, 77.57529857459905 12.980229885756481, 77.57525026094177 12.980144467156778, 77.57519380744107 12.980064195437507, 77.57512975777504 12.979989843659203, 77.57505872877697 12.979922127870138, 77.57498140449493 12.979861700210376, 77.57489852960406 12.979809142631316, 77.57481090223482 12.979764961291176, 77.5747193662867 12.97972958168041, 77.57462480330092 12.97970334452401, 77.57452812397072 12.979686502500138, 77.57406407397073 12.97962895250014))",560009,Banglore,Z140,Ananda Rao Flyover,primary,40,12.9806789,77.57440505
